XferType,FileSize,IOSize,Run,Throughput_GiBps,AvgLatency_usec,TotalTime_sec
0,512M,4K,1,0.255368,14.933823,1.957962
0,512M,4K,2,0.270702,14.088158,1.847047
0,512M,4K,3,0.226577,16.832466,2.206751
0,512M,1M,1,0.860245,1132.792969,0.581230
0,512M,1M,2,1.303720,745.318359,0.383518
0,512M,1M,3,1.326939,732.597656,0.376807
0,1G,4K,1,0.227193,16.789497,4.401542
0,1G,4K,2,0.217285,17.555283,4.602252
0,1G,4K,3,0.237266,16.076595,4.214682
0,1G,1M,1,0.508069,1915.378906,1.968236
0,1G,1M,2,1.285848,752.758789,0.777697
0,1G,1M,3,1.446481,673.887695,0.691333
0,4G,4K,1,0.252191,15.125963,15.860970
0,4G,4K,2,0.257222,14.830092,15.550758
0,4G,4K,3,0.236817,16.107979,16.890682
0,4G,1M,1,0.936098,1041.659180,4.273057
0,4G,1M,2,1.127890,863.235596,3.546444
0,4G,1M,3,1.109458,877.200684,3.605365
0,8G,4K,1,0.167705,22.746380,47.702910
0,8G,4K,2,0.169049,22.565509,47.323558
0,8G,4K,3,0.167822,22.730486,47.669557
0,8G,1M,1,0.225967,4310.233887,35.403394
0,8G,1M,2,0.224228,4354.565308,35.677993
0,8G,1M,3,0.223135,4375.823975,35.852730
1,512M,4K,1,0.192524,19.812721,2.597078
1,512M,4K,2,0.194191,19.642242,2.574783
1,512M,4K,3,0.194952,19.565948,2.564730
1,512M,1M,1,0.336331,2892.773438,1.486629
1,512M,1M,2,0.318019,3056.419922,1.572235
1,512M,1M,3,0.341912,2837.373047,1.462365
1,1G,4K,1,0.240858,15.837109,4.151823
1,1G,4K,2,0.254275,15.001411,3.932747
1,1G,4K,3,0.228935,16.661396,4.368045
1,1G,1M,1,0.516080,1883.277344,1.937683
1,1G,1M,2,0.469409,2067.425781,2.130339
1,1G,1M,3,0.508960,1909.046875,1.964790
1,4G,4K,1,0.252375,15.114960,15.849401
1,4G,4K,2,0.313715,12.159592,12.750442
1,4G,4K,3,0.334303,11.410713,11.965178
1,4G,1M,1,0.948941,1028.980957,4.215226
1,4G,1M,2,1.059809,920.022461,3.774265
1,4G,1M,3,1.099562,886.439209,3.637812
1,8G,4K,1,0.172933,22.058751,46.260728
1,8G,4K,2,0.179156,21.292518,44.653812
1,8G,4K,3,0.179180,21.289712,44.647926
1,8G,1M,1,0.213960,4563.572510,37.390241
1,8G,1M,2,0.214174,4558.618652,37.352786
1,8G,1M,3,0.213423,4571.515503,37.484291
2,512M,4K,1,0.160642,23.745049,3.112502
2,512M,4K,2,0.150011,25.428444,3.333093
2,512M,4K,3,0.169758,22.469757,2.945374
2,512M,1M,1,0.331633,2928.679688,1.507690
2,512M,1M,2,0.332703,2919.302734,1.502841
2,512M,1M,3,0.360330,2690.416016,1.387617
2,1G,4K,1,0.181277,21.042728,5.516419
2,1G,4K,2,0.180565,21.125751,5.538174
2,1G,4K,3,0.178167,21.410084,5.612703
2,1G,1M,1,0.656595,1481.444336,1.523010
2,1G,1M,2,0.647459,1500.450195,1.544500
2,1G,1M,3,0.654962,1484.291016,1.526805
2,4G,4K,1,0.168540,22.633609,23.733249
2,4G,4K,2,0.171837,22.199315,23.277847
2,4G,4K,3,0.191367,19.933732,20.902207
2,4G,1M,1,0.650602,1500.889160,6.148151
2,4G,1M,2,1.086993,897.091309,3.679875
2,4G,1M,3,1.151931,846.286621,3.472430
2,8G,4K,1,0.154393,24.707623,51.815761
2,8G,4K,2,0.155367,24.552835,51.491150
2,8G,4K,3,0.151975,25.100671,52.640100
2,8G,1M,1,0.197904,4932.456909,40.423585
2,8G,1M,2,0.197275,4949.418823,40.552522
2,8G,1M,3,0.195261,4999.891724,40.970868
3,512M,4K,1,0.171244,22.270889,2.919807
3,512M,4K,2,0.199274,19.137863,2.509103
3,512M,4K,3,0.179652,21.228020,2.783163
3,512M,1M,1,0.331041,2936.197266,1.510387
3,512M,1M,2,0.400442,2424.705078,1.248619
3,512M,1M,3,0.402646,2414.835938,1.241787
3,1G,4K,1,0.264306,14.429146,3.783495
3,1G,4K,2,0.243986,15.631763,4.098597
3,1G,4K,3,0.285898,13.340111,3.497748
3,1G,1M,1,0.493038,1973.712891,2.028243
3,1G,1M,2,0.476752,2038.750000,2.097527
3,1G,1M,3,0.460116,2113.527344,2.173364
3,4G,4K,1,0.301629,12.646318,13.261341
3,4G,4K,2,0.265726,14.354933,15.053098
3,4G,4K,3,0.315959,12.072703,12.659865
3,4G,1M,1,1.239859,785.315186,3.226174
3,4G,1M,2,0.513672,1900.768066,7.787076
3,4G,1M,3,0.842701,1156.851318,4.746642
3,8G,4K,1,0.180757,21.103662,44.258303
3,8G,4K,2,0.180245,21.163607,44.384028
3,8G,4K,3,0.180857,21.091911,44.233723
3,8G,1M,1,0.217287,4493.656616,36.817729
3,8G,1M,2,0.213200,4579.567505,37.523379
3,8G,1M,3,0.216252,4514.714111,36.993799
4,512M,4K,1,0.152709,24.979820,3.274211
4,512M,4K,2,0.057875,65.912331,8.639320
4,512M,4K,3,0.145295,26.254410,3.441282
4,512M,1M,1,1.850906,526.402344,0.270138
4,512M,1M,2,0.737788,1322.591797,0.677701
4,512M,1M,3,1.220766,724.876953,0.409579
4,1G,4K,1,0.057102,66.804436,17.512448
4,1G,4K,2,0.178728,20.971809,5.595108
4,1G,4K,3,0.062195,61.141415,16.078480
4,1G,1M,1,0.412524,2366.864258,2.424104
4,1G,1M,2,1.462474,667.060547,0.683773
4,1G,1M,3,0.564724,1728.808594,1.770775
4,4G,4K,1,0.404656,9.426965,9.884947
4,4G,4K,2,0.445390,8.564811,8.980902
4,4G,4K,3,0.431931,8.831691,9.260745
4,4G,1M,1,0.329336,2965.150635,12.145661
4,4G,1M,2,3.076535,317.329102,1.300164
4,4G,1M,3,2.497322,390.930664,1.601716
4,8G,4K,1,0.421070,9.059512,18.999226
4,8G,4K,2,0.293211,13.010067,27.284136
4,8G,4K,3,0.229429,16.626932,34.869251
4,8G,1M,1,2.725773,358.202148,2.934947
4,8G,1M,2,2.748091,355.298950,2.911112
4,8G,1M,3,2.958626,330.018799,2.703958
5,512M,4K,1,0.024564,155.064400,20.355368
5,512M,4K,2,0.025205,151.138962,19.837344
5,512M,4K,3,0.023584,161.547920,21.200376
5,512M,1M,1,0.431020,2201.916016,1.160040
5,512M,1M,2,0.504735,1871.716797,0.990619
5,512M,1M,3,0.494863,1901.666016,1.010381
5,1G,4K,1,0.025394,150.115417,39.378828
5,1G,4K,2,0.024657,154.608143,40.556486
5,1G,4K,3,0.024965,152.685062,40.056486
5,1G,1M,1,0.637678,1494.314453,1.568189
5,1G,1M,2,1.009813,939.410156,0.990282
5,1G,1M,3,0.995249,953.066406,1.004774
5,4G,4K,1,0.027618,138.101832,144.831754
5,4G,4K,2,0.024718,154.310740,161.825925
5,4G,4K,3,0.026889,141.849145,148.759006
5,4G,1M,1,0.813827,1192.378906,4.915047
5,4G,1M,2,0.866182,1118.959229,4.617967
5,4G,1M,3,0.898205,1078.057129,4.453324
5,8G,4K,1,0.027317,139.635585,292.855766
5,8G,4K,2,0.026930,141.642888,297.065233
5,8G,4K,3,0.024022,158.788996,333.031794
5,8G,1M,1,0.199013,4902.848999,40.198414
5,8G,1M,2,0.214414,4549.941772,37.310976
5,8G,1M,3,0.213565,4568.344238,37.459330
6,512M,4K,1,0.039083,95.466881,12.793266
6,512M,4K,2,0.038615,96.542221,12.948189
6,512M,4K,3,0.039290,94.952484,12.726025
6,512M,1M,1,0.662059,1473.226562,0.755220
6,512M,1M,2,0.613668,1589.582031,0.814773
6,512M,1M,3,0.358237,2724.294922,1.395723
6,1G,4K,1,0.037884,98.337238,26.396296
6,1G,4K,2,0.039091,95.419559,25.581580
6,1G,4K,3,0.038939,95.697952,25.681378
6,1G,1M,1,0.693602,1406.408203,1.441749
6,1G,1M,2,1.465612,664.751953,0.682309
6,1G,1M,3,1.510230,645.000000,0.662151
6,4G,4K,1,0.039758,93.790822,100.609096
6,4G,4K,2,0.039485,94.410995,101.305367
6,4G,4K,3,0.039588,94.088918,101.041364
6,4G,1M,1,1.404288,693.963379,2.848418
6,4G,1M,2,1.235350,789.070068,3.237948
6,4G,1M,3,1.311441,743.203857,3.050080
6,8G,4K,1,0.039139,95.313744,204.397149
6,8G,4K,2,0.039232,95.092341,203.912969
6,8G,4K,3,0.039233,95.098087,203.907906
6,8G,1M,1,0.229686,4250.353760,34.830157
6,8G,1M,2,0.224841,4341.998657,35.580705
6,8G,1M,3,0.226877,4303.017090,35.261420
7,512M,4K,1,0.024399,155.535065,20.493058
7,512M,4K,2,0.025109,151.086021,19.913020
7,512M,4K,3,0.025372,149.486076,19.706536
7,512M,1M,1,0.523942,1862.746094,0.954305
7,512M,1M,2,0.447196,2182.603516,1.118078
7,512M,1M,3,0.528068,1848.273438,0.946847
7,1G,4K,1,0.026794,141.570847,37.321627
7,1G,4K,2,0.027810,136.364967,35.957749
7,1G,4K,3,0.023529,161.108212,42.501097
7,1G,1M,1,0.515205,1894.450195,1.940974
7,1G,1M,2,0.962973,1013.086914,1.038451
7,1G,1M,3,0.917808,1062.954102,1.089552
7,4G,4K,1,0.025381,149.332399,157.599363
7,4G,4K,2,0.023614,160.592074,169.390146
7,4G,4K,3,0.027470,138.024112,145.611082
7,4G,1M,1,0.852594,1144.370605,4.691567
7,4G,1M,2,0.918714,1062.033447,4.353914
7,4G,1M,3,0.881894,1106.455811,4.535690
7,8G,4K,1,0.024944,152.125128,320.721771
7,8G,4K,2,0.024519,154.796369,326.277949
7,8G,4K,3,0.025038,151.536004,319.508339
7,8G,1M,1,0.198625,4915.721558,40.276920
7,8G,1M,2,0.212620,4592.114502,37.625741
7,8G,1M,3,0.215300,4534.916992,37.157390
