XferType,FileSize,IOSize,Run,Throughput_GiBps,AvgLatency_usec,TotalTime_sec
0,1G,4K,1,0.052575,72.553486,19.020590
0,1G,4K,2,0.052052,73.281525,19.211552
0,1G,4K,3,0.052960,72.024570,18.882143
0,1G,1M,1,1.244351,783.188477,0.803632
0,1G,1M,2,1.153706,844.982422,0.866772
0,1G,1M,3,1.330088,732.736328,0.751830
6,1G,4K,1,0.038711,95.329940,25.832468
6,1G,4K,2,0.039107,94.375926,25.571005
6,1G,4K,3,0.038740,95.222938,25.813358
6,1G,1M,1,1.721194,564.835122,0.580992
6,1G,1M,2,1.753180,554.524878,0.570392
6,1G,1M,3,1.739802,558.939512,0.574778
0,2G,4K,1,0.051655,73.845213,38.718765
0,2G,4K,2,0.047000,81.160948,42.553125
0,2G,4K,3,0.044525,85.673475,44.918930
0,2G,1M,1,1.181994,825.231445,1.692056
0,2G,1M,2,1.115219,874.806152,1.793370
0,2G,1M,3,1.133782,860.379883,1.764007
6,2G,4K,1,0.036382,101.956467,54.972399
6,2G,4K,2,0.036207,102.379119,55.237284
6,2G,4K,3,0.035993,102.886742,55.566165
6,2G,1M,1,1.664079,584.823816,1.201866
6,2G,1M,2,1.620117,600.694485,1.234479
6,2G,1M,3,1.589262,612.318692,1.258446
0,4G,4K,1,0.050783,75.116930,78.767062
0,4G,4K,2,0.048814,78.144979,81.943317
0,4G,4K,3,0.047157,80.892257,84.822505
0,4G,1M,1,1.352035,721.424316,2.958504
0,4G,1M,2,1.315434,741.656006,3.040821
0,4G,1M,3,1.105087,883.208984,3.619626
6,4G,4K,1,0.034586,107.260698,115.653748
6,4G,4K,2,0.034451,107.597680,116.107985
6,4G,4K,3,0.034337,107.985102,116.493758
6,4G,1M,1,1.626886,598.464486,2.458685
6,4G,1M,2,1.487173,654.639248,2.689667
6,4G,1M,3,1.571180,619.685868,2.545857
0,8G,4K,1,0.046811,81.491408,170.901428
0,8G,4K,2,0.045716,83.443067,174.993763
0,8G,4K,3,0.045785,83.315895,174.728640
0,8G,1M,1,1.399337,697.682129,5.716992
0,8G,1M,2,1.366973,714.067749,5.852348
0,8G,1M,3,1.286178,742.660889,6.219978
6,8G,4K,1,0.034136,108.706278,234.356258
6,8G,4K,2,0.033888,109.412485,236.068592
6,8G,4K,3,0.033505,110.763255,238.767832
6,8G,1M,1,1.548080,629.055169,5.167692
6,8G,1M,2,1.437650,677.276822,5.564636
6,8G,1M,3,1.515151,642.737581,5.280002
