XferType,FileSize,IOSize,Avg_Throughput_GiBps
batch off,1G,1M,1.2427149999999998
batch on,1G,1M,1.7380586666666666
batch off,2G,1M,1.1436650000000002
batch on,2G,1M,1.624486
batch off,4G,1M,1.2575186666666667
batch on,4G,1M,1.5617463333333335
batch off,8G,1M,1.3508293333333334
batch on,8G,1M,1.5002936666666666
batch off,1G,4K,0.052529
batch on,1G,4K,0.03885266666666667
batch off,2G,4K,0.04772666666666667
batch on,2G,4K,0.036194
batch off,4G,4K,0.048917999999999996
batch on,4G,4K,0.034457999999999996
batch off,8G,4K,0.046104
batch on,8G,4K,0.033843000000000005
