mode,io_type,total_size,block_size,threads,avg_throughput_MBps,avg_latency_ms,avg_total_time_ms
gds,randread,4K,4k,4,46.4763,0.0010,0.1957
gds,randread,8K,4k,4,98.4651,0.0350,0.2387
gds,randread,16K,4k,4,173.6598,0.0333,0.2597
gds,randread,32K,4k,4,254.1947,0.0333,0.4307
gds,randread,64K,4k,4,345.6983,0.0318,0.6403
gds,randread,128K,4k,4,421.1401,0.0312,1.1453
gds,randread,256K,4k,4,453.9552,0.0315,2.1723
gds,randread,512K,4k,4,469.2733,0.0317,4.1647
gds,randread,1M,4k,4,487.6827,0.0313,8.0410
gds,randread,2M,4k,4,510.2240,0.0303,15.1053
gds,randread,4M,4k,4,587.1592,0.0265,26.6750
gds,randread,8M,4k,4,679.4486,0.0229,46.0807
gds,randread,16M,4k,4,780.7990,0.0200,81.4013
gds,randread,32M,4k,4,881.9593,0.0177,140.0753
gds,randread,64M,4k,4,956.3303,0.0163,266.1283
gds,randread,128M,4k,4,1009.8770,0.0155,496.1473
gds,randread,256M,4k,4,1027.8014,0.0152,971.2483
gds,randread,512M,4k,4,1043.5174,0.0150,1920.1060
gds,randread,1G,4k,4,1049.3911,0.0149,3859.3587
gds,randread,2G,4k,4,1052.3129,0.0149,7659.1170
gds,randread,4G,4k,4,1048.2811,0.0149,15279.2850
posix,randread,4K,4k,4,65.7753,0.0000,0.0617
posix,randread,8K,4k,4,91.6982,0.0122,0.1057
posix,randread,16K,4k,4,220.8205,0.0155,0.1187
posix,randread,32K,4k,4,368.5772,0.0194,0.1307
posix,randread,64K,4k,4,572.5273,0.0188,0.2410
posix,randread,128K,4k,4,696.7808,0.0194,0.4723
posix,randread,256K,4k,4,800.9916,0.0188,0.8030
posix,randread,512K,4k,4,817.1172,0.0190,1.7513
posix,randread,1M,4k,4,840.9593,0.0190,3.2830
posix,randread,2M,4k,4,877.8735,0.0186,6.1880
posix,randread,4M,4k,4,835.2143,0.0192,15.2323
posix,randread,8M,4k,4,952.6238,0.0168,27.1207
posix,randread,16M,4k,4,1099.1374,0.0145,48.7183
posix,randread,32M,4k,4,1236.9654,0.0127,93.9347
posix,randread,64M,4k,4,1260.9021,0.0124,197.0940
posix,randread,128M,4k,4,1334.0088,0.0117,375.9150
posix,randread,256M,4k,4,1314.4115,0.0119,769.1067
posix,randread,512M,4k,4,1339.5797,0.0117,1499.4743
posix,randread,1G,4k,4,1320.0688,0.0118,3076.3120
posix,randread,2G,4k,4,1346.3801,0.0116,5872.7943
posix,randread,4G,4k,4,1340.7799,0.0117,11914.8430
