XferType,IOSize,BatchSize,Run,Throughput_GiBps,AvgLatency_usec,TotalTime_sec
0,4K,1,1,0.052487,72.674011,9.526180
0,4K,1,2,0.052020,73.326965,9.611772
0,4K,1,3,0.051633,73.876076,9.683752
6,4K,1,1,0.037902,97.642970,13.191887
6,4K,1,2,0.038014,97.273474,13.153024
6,4K,1,3,0.038171,96.950653,13.098784
6,4K,2,1,0.038448,96.361951,13.004692
6,4K,2,2,0.038666,95.796800,12.931333
6,4K,2,3,0.038841,95.353673,12.873033
6,4K,4,1,0.038547,96.097137,12.971061
6,4K,4,2,0.038657,95.722292,12.934158
6,4K,4,3,0.038651,95.792993,12.936176
6,4K,8,1,0.038455,96.216505,13.002187
6,4K,8,2,0.038166,96.812372,13.100553
6,4K,8,3,0.038130,96.869874,13.112954
6,4K,16,1,0.038090,97.116202,13.126936
6,4K,16,2,0.038135,96.971260,13.111449
6,4K,16,3,0.038341,96.339994,13.040940
6,4K,32,1,0.038263,96.580356,13.067343
6,4K,32,2,0.038194,96.974610,13.091010
6,4K,32,3,0.038803,95.328412,12.885476
6,4K,64,1,0.038138,96.875276,13.110120
6,4K,64,2,0.038671,95.631297,12.929437
6,4K,64,3,0.038120,96.884866,13.116581
6,4K,128,1,0.038498,95.967011,12.987767
6,4K,128,2,0.038472,96.243261,12.996614
6,4K,128,3,0.038276,96.676493,13.063111
0,1M,1,1,1.415675,689.148193,2.825507
0,1M,1,2,1.445837,674.712158,2.766564
0,1M,1,3,1.436480,679.130859,2.784585
6,1M,1,1,1.668313,583.371979,2.397631
6,1M,1,2,1.620072,600.799609,2.469026
6,1M,1,3,1.615661,602.526483,2.475767
6,1M,2,1,1.612886,603.589944,2.480026
6,1M,2,2,1.499468,649.227239,2.667612
6,1M,2,3,1.534321,634.501098,2.607016
6,1M,4,1,1.520400,640.256773,2.630887
6,1M,4,2,1.500946,648.589944,2.664986
6,1M,4,3,1.529826,636.312668,2.614677
6,1M,8,1,1.545236,630.077374,2.588601
6,1M,8,2,1.511291,644.137174,2.646744
6,1M,8,3,1.488131,654.156944,2.687936
6,1M,16,1,1.546205,629.640713,2.586979
6,1M,16,2,1.494145,651.604101,2.677117
6,1M,16,3,1.526972,637.544301,2.619563
6,1M,32,1,1.512338,643.733952,2.644911
6,1M,32,2,1.531442,635.672687,2.611917
6,1M,32,3,1.544263,630.436173,2.590232
6,1M,64,1,1.518906,640.920918,2.633475
6,1M,64,2,1.521272,639.943373,2.629379
6,1M,64,3,1.505885,646.412985,2.656245
6,1M,128,1,1.552603,627.008787,2.576319
6,1M,128,2,1.545029,630.076886,2.588948
6,1M,128,3,1.551696,627.389797,2.577825
