mode,io_type,total_size,block_size,threads,avg_throughput_MBps,avg_latency_ms,avg_total_time_ms
gds,read,1M,1M,8,1229.4973,0.0000,0.8193
gds,read,2M,1M,8,3172.2165,0.2044,1.2830
gds,read,4M,1M,8,12039.4158,0.2623,1.9943
gds,read,8M,1M,8,16607.6740,0.2500,2.3627
gds,read,16M,1M,8,23290.7411,0.2479,4.2243
gds,read,32M,1M,8,27100.5157,0.2511,7.9310
gds,read,64M,1M,8,31069.5195,0.2358,15.7170
gds,read,128M,1M,8,37523.3782,0.2026,25.6887
gds,read,256M,1M,8,47656.5808,0.1702,39.2283
gds,read,512M,1M,8,65599.0787,0.1195,59.6240
gds,read,1G,1M,8,75518.5882,0.1046,105.1257
gds,read,2G,1M,8,86750.8794,0.0915,185.7220
gds,read,4G,1M,8,92683.4551,0.0861,342.6560
posix,read,1M,1M,8,2169.9557,0.0000,0.4610
posix,read,2M,1M,8,5467.7688,0.8590,1.1400
posix,read,4M,1M,8,6606.2005,1.1277,3.4463
posix,read,8M,1M,8,6522.7940,1.1894,8.1213
posix,read,16M,1M,8,6741.2384,1.1627,16.5853
posix,read,32M,1M,8,8094.8384,0.9753,26.7167
posix,read,64M,1M,8,9437.9431,0.8422,47.3027
posix,read,128M,1M,8,10398.3776,0.7655,91.1650
posix,read,256M,1M,8,10901.3344,0.7336,175.6667
posix,read,512M,1M,8,11161.5778,0.7188,337.0603
posix,read,1G,1M,8,11222.4553,0.7143,680.3333
posix,read,2G,1M,8,11332.3482,0.7066,1362.5270
posix,read,4G,1M,8,11353.4188,0.7052,2779.2707
